hash,size_of_data,virtual_address,entropy,virtual_size,malware
071e8c3f8922e186e57548cd4c703a5d,443392,4096,6.5296235857589116,442984,1
33f8e6d08a6aae939f25a8e0d63dd523,331264,4096,6.604313849542068,330784,1
b68abd064e975e1c6d5f25e748663076,74240,4096,6.046789095658372,73819,1
72049be7bd30ea61297ea624ae198067,219648,4096,6.497017567319603,219524,1
c9b3700a77facf29172f32df6bc77f48,262144,4096,6.638141582324112,261943,1
cc6217be863e606e49da90fee2252f52,12288,4096,5.057396381101422,8652,1
cc6217be863e606e49da90fee2252f52,49152,36864,6.084692329971198,46692,1
f7a1a3c38809d807b3f5f4cc00b1e9b7,2200064,4096,6.34013023045868,2199608,1
a2597ae310f53a6b70c6951a3245dc4a,57121,4096,6.580114851214333,57121,1
164b56522eb24164184460f8523ed7e2,946688,4096,6.517326942752597,946381,1
56ae1459ba61a14eb119982d6ec793d7,623616,4096,7.462788756013712,623159,1
c4148ca91c5246a8707a1ac1fd1e2e36,371712,4096,6.5330887789168965,371409,1
fb7569d1c2c1fa36a97fdc732f51a637,40448,4096,6.631765876950799,40240,1
e7ac6a2de45506164777941faf953094,688128,4096,7.70002528541187,687625,1
1282837376a698e38af5cca54bdfbdd0,390656,4096,5.476263501594139,390418,1
2688d03495ba17054a9a65028a0a80f8,262144,4096,6.638141582324112,261943,1
2109cd66383a81926aef367530a2a9fc,262144,4096,6.638141582324112,261943,1
2a1e576d411c5d5370e381042f973ea5,23552,4096,6.417698236857408,23130,1
b77933644b8a9fd5c22cad19b21dfb30,443392,4096,6.5296235857589116,442984,1
8220417d83184f62f5734a0c1d140e89,262144,4096,6.638141582324112,261943,1
a36c063345128d22bf1dd003af2eb36d,286720,4096,6.585726496667122,286359,1
4c9b84877211d5ba1ae0bd681b01bfec,49152,4096,5.883644858933547,45714,1
5e16e45f22fd546b4b52e45ca031e5c5,286720,4096,6.585726496667122,286359,1
bcd1ba1f7c6cab26c02c8bec3e5989de,74752,4096,6.621153534194282,74311,1
cbf532ac41a42fb819f1cdbf2239c1db,105472,4096,5.0791721121096565,105426,1
0e20e8fd3a42d387620d0c194ade6673,24064,4096,6.44010554949795,23628,1
54d1c19fa3bd274f1c7376fb341b2848,483328,8192,7.956658327428103,482516,1
d6fa2fa31148f6c4a2a1d9837dcda3b4,467456,4096,6.6222296696552485,467332,1
98f2f5b97550d06aac5908c9a20944c1,290304,4096,7.2597255013257405,290136,1
268a6e44780afd1605558fbba0b15ee6,364544,8192,7.981050796631316,364148,1
2900d3018439ab3b9f75423defbe3fac,713728,4096,6.58831197206665,713229,1
c62f0e319eb55a2639b6540a8b14bac7,389632,4096,6.622757701586068,389624,1
e15cd250d10c4a7b9452a459d4890fee,23040,4096,6.433100348280963,22738,1
5668e76248144d9bb967e28c9347b0ce,1058304,4096,6.596388507773283,1057934,1
a0160cdc30214cc5a0ecb1e144147fd0,262144,4096,6.638141582324112,261943,1
524f0af00e536a583e27d64d98d83c8d,26624,4096,6.5678927726151395,26532,1
a32a382b8a5a906e03a83b4f3e5b7a9b,51712,4096,6.611198890587406,51549,0
873e7998e45480d537154b1f479f97b8,262144,4096,6.638141582324112,261943,1
850248432ec5c28f60ad1acdf4edc97f,23040,4096,6.433100348280963,22738,1
5b51d65972a349f90a86984c26b12b30,28672,4096,6.497884651859418,28432,0
b59328578b7c9d026c0d57eb36f64e6b,212992,4096,6.513898596559942,212834,1
bbab715051e59e89257cd5a8f561b5de,122368,4096,7.072026928908387,122236,1
131e9e0e7ce851fd4be463c32e025c7b,262144,4096,6.638141582324112,261943,1
4ff9c623b66cbff71ece866bec2c6465,539136,4096,6.227854515417722,539133,1
becede6a28098478b577ad67ad725e58,371712,4096,6.5330887789168965,371409,1
727862e75daf1bb5d0341c273139361f,100864,4096,6.583232071007346,100522,1
0b1618049d0eccb4a5155fefbf02462c,4123648,4096,6.602800732288787,4123412,1
12375399b31b207e87c7393f0dba5446,4241920,4096,6.572945290587096,4241492,1
e4a9a1bee4b4970aac834f96ffee32d6,262144,4096,6.638141582324112,261943,1
f882d701db42988bc7a744e23697dfcf,359936,4096,6.341387403327774,359615,1
